matrix,scheduling,memory,threads,cache_misses_percent,l1_misses_percent,llc_misses_percent
sinc12,guided,32GB,64,0.796,4.702,6.007
sinc12,guided,64GB,1,0.143,4.706,0.67
sinc12,guided,64GB,2,0.32,4.706,1.214
sinc12,guided,64GB,4,0.509,4.706,4.466
sinc12,guided,64GB,8,0.875,4.707,10.083
sinc12,guided,64GB,16,0.579,4.705,4.483
sinc12,guided,64GB,32,0.649,4.705,4.62
sinc12,guided,64GB,64,0.718,4.702,5.739
sinc12,static,128GB,1,0.214,4.705,0.617
sinc12,static,128GB,2,0.719,4.705,2.728
sinc12,static,128GB,4,0.512,4.706,3.729
sinc12,static,128GB,8,0.465,4.705,2.944
sinc12,static,128GB,16,0.534,4.704,3.157
sinc12,static,128GB,32,0.429,4.699,3.236
sinc12,static,128GB,64,0.672,4.7,6.206
sinc12,static,32GB,1,0.389,4.705,2.472
sinc12,static,32GB,2,0.315,4.705,1.218
sinc12,static,32GB,4,0.628,4.707,6.531
sinc12,static,32GB,8,0.565,4.706,3.615
sinc12,static,32GB,16,0.549,4.704,3.158
sinc12,static,32GB,32,0.552,4.7,3.613
sinc12,static,32GB,64,0.772,4.7,6.219
sinc12,static,64GB,1,0.156,4.706,0.625
sinc12,static,64GB,2,0.29,4.706,0.927
sinc12,static,64GB,4,0.583,4.705,5.58
sinc12,static,64GB,8,0.604,4.707,5.342
sinc12,static,64GB,16,0.714,4.705,4.917
sinc12,static,64GB,32,0.67,4.704,4.884
sinc12,static,64GB,64,0.709,4.7,5.078
